backdrop_path,genres,imdb_id,original_title,overview,vote_count,vote_average,videos,movieId
/yZK4T7ZDQcQr5omvSnJnR9IzBVa.jpg,"['Horror', 'Mystery']",tt0134084,Scream 3,"As bodies begin dropping around the set of ‘Stab 3’, a movie sequel based on the gruesome Woodsboro killings, Sidney, Gale and Dewey are once again drawn into a game of horror movie mayhem.",2542,5.9,"{'results': [{'iso_639_1': 'en', 'iso_3166_1': 'US', 'name': 'Scream 3 (2000) - Movie Trailer', 'key': 'bYi-rmHfrP8', 'published_at': '2010-12-02T21:55:13.000Z', 'site': 'YouTube', 'size': 360, 'type': 'Trailer', 'official': False, 'id': '533ec65ec3a3685448000e62'}]}",3273
/105h2E4rDX65Tzs4bWrR4rYhElU.jpg,"['Action', 'Thriller', 'Crime']",tt0144117,The Boondock Saints,"Tired of the crime overrunning the streets of Boston, Irish Catholic twin brothers Conner and Murphy are inspired by their faith to cleanse their hometown of evil with their own brand of zealous vigilante justice. As they hunt down and kill one notorious gangster after another, they become controversial folk heroes in the community. But Paul Smecker, an eccentric FBI agent, is fast closing in on their blood-soaked trail.",1923,7.3,"{'results': [{'iso_639_1': 'en', 'iso_3166_1': 'US', 'name': 'The Boondock Saints 1999 DxPRG Trailer', 'key': '5CKb1XHh3jQ', 'published_at': '2012-03-11T17:20:55.000Z', 'site': 'YouTube', 'size': 720, 'type': 'Trailer', 'official': False, 'id': '533ec663c3a3685448001366'}]}",3275
/cxRcmEwtUZVfNlC4HoWaNKzNNW0.jpg,"['Drama', 'Adventure', 'Romance', 'Thriller']",tt0163978,The Beach,"Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss - excited and intrigued, he sets out to find it.",3638,6.5,"{'results': [{'iso_639_1': 'en', 'iso_3166_1': 'US', 'name': 'The Beach | #TBT Trailer | 20th Century FOX', 'key': 't99_nC_tYVM', 'site': 'YouTube', 'size': 1080, 'type': 'Trailer', 'official': True, 'published_at': '2015-01-29T18:38:57.000Z', 'id': '5f1bab29af58cb003642e804'}]}",3285
/3xIzrSM5GKoF8JAlUnnSaG04gCS.jpg,"['Crime', 'Drama', 'Thriller']",tt0181984,Boiler Room,A college dropout gets a job as a broker for a suburban investment firm and is on the fast track to success—but the job might not be as legitimate as it sounds.,513,6.7,"{'results': [{'iso_639_1': 'en', 'iso_3166_1': 'US', 'name': 'Boiler Room (2000) Teaser (VHS Capture)', 'key': 'bsSj5tDgNq0', 'published_at': '2015-03-08T14:24:29.000Z', 'site': 'YouTube', 'size': 480, 'type': 'Teaser', 'official': False, 'id': '54fc5fa9925141237d0020df'}, {'iso_639_1': 'en', 'iso_3166_1': 'US', 'name': 'Boiler Room (2000) Official Trailer #1 - Vin Diesel Movie HD', 'key': 'kgCLG4gCAvI', 'published_at': '2013-08-27T05:16:57.000Z', 'site': 'YouTube', 'size': 720, 'type': 'Trailer', 'official': False, 'id': '533ec676c3a36854480026e7'}]}",3298
/jIibfKqDN5i5ZU0vshk06UEUaVg.jpg,"['Thriller', 'Science Fiction', 'Action']",tt0134847,Pitch Black,"When their ship crash-lands on a remote planet, the marooned passengers soon learn that escaped convict Riddick isn't the only thing they have to fear. Deadly creatures lurk in the shadows, waiting to attack in the dark, and the planet is rapidly plunging into the utter blackness of a total eclipse. With the body count rising, the doomed survivors are forced to turn to Riddick with his eerie eyes to guide them through the darkness to safety. With time running out, there's only one rule: Stay in the light.",3659,6.8,"{'results': [{'iso_639_1': 'en', 'iso_3166_1': 'US', 'name': 'Pitch Black | Riddick vs. Johns in the Bioraptor Cave in 4K HDR', 'key': '4n36ennMDs8', 'site': 'YouTube', 'size': 2160, 'type': 'Clip', 'official': True, 'published_at': '2021-06-20T13:00:04.000Z', 'id': '60f5dc0c8258fc00458950ca'}, {'iso_639_1': 'en', 'iso_3166_1': 'US', 'name': 'Pitch Black - Trailer', 'key': 'XQ8RMEC6S2E', 'published_at': '2011-10-05T10:12:27.000Z', 'site': 'YouTube', 'size': 1080, 'type': 'Trailer', 'official': False, 'id': '533ec65cc3a3685448000cb4'}, {'iso_639_1': 'en', 'iso_3166_1': 'US', 'name': 'Pitch Black (2000) Trailer 2', 'key': 'RU3eJmbyqzA', 'published_at': '2008-05-01T12:57:28.000Z', 'site': 'YouTube', 'size': 360, 'type': 'Trailer', 'official': False, 'id': '533ec65cc3a3685448000cb3'}]}",3300
/gOYlpZjpzHFePSHt0OxZHYENfvC.jpg,"['Comedy', 'Crime']",tt0190138,The Whole Nine Yards,"After a mobster agrees to cooperate with an FBI investigation in order to stay out of prison, he's relocated by the authorities to a life of suburban anonymity as part of a witness protection program. It's not long before a couple of his new neighbours figure out his true identity and come knocking to see if he'd be up for one more hit—suburban style.",1473,6.5,"{'results': [{'iso_639_1': 'en', 'iso_3166_1': 'US', 'name': 'The Whole Nine Yards - Trailer', 'key': '671bZc4jX7g', 'published_at': '2010-10-26T20:37:48.000Z', 'site': 'YouTube', 'size': 480, 'type': 'Trailer', 'official': True, 'id': '533ec65bc3a3685448000b1e'}]}",3301
/n5pEhP9GUZywJ0Q1c8QVR6ryb7H.jpg,"['Thriller', 'Action', 'Crime', 'Drama']",tt0184858,Reindeer Games,"After assuming his dead cellmate's identity to get with his girlfriend, an ex-con finds himself the reluctant participant in a casino heist.",509,5.6,"{'results': [{'iso_639_1': 'en', 'iso_3166_1': 'US', 'name': 'Reindeer Games (2000) Official Trailer 1 - Ben Affleck Movie', 'key': '0856Uv4QmtI', 'published_at': '2016-09-29T17:36:46.000Z', 'site': 'YouTube', 'size': 1080, 'type': 'Trailer', 'official': False, 'id': '57eea2fd9251416cd6008196'}]}",3316
/hVBdukjBJK9bcGznLX1t3okxQiE.jpg,"['Comedy', 'Drama']",tt0185014,Wonder Boys,Grady is a 50-ish English professor who hasn't had a thing published in years—not since he wrote his award winning 'Great American Novel' 7 years ago. This weekend proves even worse than he could imagine as he finds himself reeling from one misadventure to another in the company of a new wonder boy author.,467,6.9,"{'results': [{'iso_639_1': 'en', 'iso_3166_1': 'US', 'name': 'Wonder Boys - Trailer - HQ', 'key': 'sveK_fhIqhs', 'published_at': '2009-01-01T21:19:24.000Z', 'site': 'YouTube', 'size': 360, 'type': 'Trailer', 'official': False, 'id': '533ec66dc3a3685448001d7c'}]}",3317
/i3TisW0YbXEtUQSIJPgKUI4WCF3.jpg,"['Science Fiction', 'Thriller']",tt0183523,Mission to Mars,"When contact is lost with the crew of the first Mars expedition, a rescue mission is launched to discover their fate.",1121,6.0,"{'results': [{'iso_639_1': 'en', 'iso_3166_1': 'US', 'name': 'Mission to Mars Trailer [HQ]', 'key': 'UccsxuP8Tk8', 'site': 'YouTube', 'size': 1080, 'type': 'Trailer', 'official': False, 'published_at': '2012-09-07T12:57:18.000Z', 'id': '625f7a08befb09009896684f'}, {'iso_639_1': 'en', 'iso_3166_1': 'US', 'name': 'mission to mars twister', 'key': 'w9aYYYtG08I', 'site': 'YouTube', 'size': 720, 'type': 'Trailer', 'official': False, 'published_at': '2012-04-13T19:50:22.000Z', 'id': '625f7a31bb070d0067ef853b'}]}",3354
/3HmLKhahTxX2ALTWlagr92pZrU7.jpg,['Drama'],tt0195685,Erin Brockovich,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.",2493,7.4,"{'results': [{'iso_639_1': 'en', 'iso_3166_1': 'US', 'name': 'Erin Brockovich trailer', 'key': 'keZXGaDvK2s', 'published_at': '2009-09-16T16:03:25.000Z', 'site': 'YouTube', 'size': 360, 'type': 'Trailer', 'official': False, 'id': '533ec654c3a368544800036c'}]}",3408
